,Price,Brand,Screen Size,CPU type,Memory,Storage,GPU,Resolution,Backlit Keyboard,Touchscreen,Graphic Type,Operating System,Webcam,Card Reader,Thunderbolt,title,link,ppi,CPU_series,GPU_brand
0,699.0,msi,15.6,Intel Core i7 13th Gen,32,1024,Intel Iris Xe,1920x1080,1,0,Integrated,Windows 11 Home,Yes,1,0,"msi modern 15h 15.6"" ultra thin and light professional laptop intelâ® coreâ„¢ i7-13620h iris xe 32gb ddr4 1tb nvme ssd win 11 home b13m-021us(49)",https://www.newegg.com/classic-black-msi-modern-15-h-b13m-021us-work-business/p/N82E16834156557?Item=N82E16834156557,141.21199808219862,Intel Core i7,Intel
1,314.99,dell,14.0,Intel Core i7 8th Gen,32,256,Intel UHD Graphics 620,1920x1080,0,1,Integrated,Windows 11 Pro,No,0,0,"dell latitude 7400 intel core i7 8th gen 8665u (up to 4.80 ghz) 32 gb ram 256 gb ssd intel hd graphics 620 14.0"" touchscreen 1920 x 1080 windows 11 pro(20)",https://www.newegg.com/black-dell-latitude-7400-work-business/p/N82E16834343913?Item=N82E16834343913,157.3505121487356,Intel Core i7,Intel
2,329.99,lenovo,15.6,Intel Core i3 13th Gen,8,256,Intel UHD Graphics,1920x1080,0,0,Integrated,Windows 11 in S mode,Yes,1,0,"lenovo 83b40000us 15.6"" laptop intel core i3 13th gen 1315u (1.20ghz) 8gb memory(1)",https://www.newegg.com/abyss-blue-lenovo-ideapad-1-15iru7-83b40000us/p/N82E16834840402?Item=N82E16834840402,141.21199808219862,Intel Core i3,Intel
3,649.99,lenovo,16.0,AMD Ryzen 7 7000 Series,16,512,AMD Radeon Graphics,1920x1200,1,1,Integrated,Windows 11 Home,Yes,1,0,"lenovo 82xg0019us 16.0"" laptop amd ryzen 7 7000 series 7730u (2.00ghz) 16gb memory(5)",https://www.newegg.com/abyss-blue-lenovo-ideapad-slim-5-82xg0019us-home-personal/p/N82E16834840210?Item=N82E16834840210,141.50971698084905,AMD Ryzen 7,AMD
4,899.99,gigabyte,16.0,Intel Core i7 13th Gen,16,512,NVIDIA GeForce RTX 4060 Laptop GPU,1920x1200,1,0,Dedicated,Windows 11 Home,No,1,0,"gigabyte g6 kf - 16"" fhd 1920x1200 165hz - nvidia geforce rtx 4060 laptop gpu - intel core i7-13620h - 16gb ddr5 ram - 512gb ssd - win11 home - gaming laptop (g6 kf-h3us853sh)(7)",https://www.newegg.com/black-gigabyte-g6-kf-h3us853sh/p/N82E16834233569?Item=N82E16834233569,141.50971698084905,Intel Core i7,NVIDIA
5,799.0,msi,13.4,Intel Core i7 12th Gen,16,1024,Intel Iris Xe,1920x1200,0,1,Integrated,Windows 11 Home,No,0,0,"msi summit e13flipevo a12mt-026 13.4"" touchscreen laptop  i7-1280p (1.80ghz) 16gb ram 1tb ssd intel iris xe graphics windows 11 home(25)",https://www.newegg.com/p/N82E16834156466?Item=N82E16834156466,168.96682624578992,Intel Core i7,Intel
6,1699.99,lenovo,16.0,Intel Core i9 13th Gen,32,1024,NVIDIA GeForce RTX 4070 Laptop GPU,2560x1600,1,0,Dedicated,Windows 11 Home,Yes,0,0,"lenovo legion pro 5 16irx8 82wk00ahus 16.0"" gaming laptop(85)",https://www.newegg.com/onyx-grey-aluminium-pc-abs-lenovo-legion-pro-5-16irx8-82wk00ahus-gaming/p/N82E16834840206?Item=N82E16834840206,188.67962264113208,Intel Core i9,NVIDIA
7,1199.99,asus,16.0,Intel Core i7 13th Gen,16,1024,NVIDIA GeForce RTX 4050 Laptop GPU,1920x1200,1,0,Dedicated,Windows 11 Home,Yes,1,1,"2023 asus vivobook 16x laptop, 16â€ wuxga, intel core i7-13700h cpu, nvidia geforce rtx 4050 gpu, 16gb ram, 1tb ssd, windows 11 home, indie black, k3605vu-nb76(1)",https://www.newegg.com/black-asus-k3605vu-nb76/p/N82E16834236471?Item=N82E16834236471,141.50971698084905,Intel Core i7,NVIDIA
8,379.0,msi,15.6,Intel Core i3 12th Gen,8,512,Intel UHD Graphics,1920x1080,1,0,Integrated,Windows 11 Home,Yes,1,0,"msi modern 15 b12m-433us 15.6"" laptop intel core i3 12th gen 1215u (1.20ghz) 8gb memory(2)",https://www.newegg.com/classic-black-msi-modern-15-b12m-433us-work-business/p/N82E16834156480?Item=N82E16834156480,141.21199808219862,Intel Core i3,Intel
9,979.99,asus,15.6,AMD Ryzen 7 7000 Series,16,512,AMD Radeon 680M,1920x1080,1,0,Integrated,Windows 11 Home,Yes,0,0,"2023 asus zenbook 15 laptop, 15.6â€ fhd display, amd ryzen 7 7735u cpu, amd radeon graphics, 16gb ram, 512gb ssd, windows 11 home, ponder blue, um3504da-nb74(24)",https://www.newegg.com/ponder-blue-asus-um3504da-nb74/p/N82E16834236473?Item=N82E16834236473,141.21199808219862,AMD Ryzen 7,AMD
